,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,imdb score,language
122,s1903,Movie,All Because of You,Adrian Teh,"Hairul Azreen, Janna Nick, Amerul Affendi, Henley Hii, Nam Ron, Theebaan Govindasamy, Taufiq Hanafi, Hafizul Kamal, Josiah Hogan, Sophia Albarakbah, Sugeeta Chandran, Anna Jobling",Malaysia,2020-10-01,2020,TV-PG,102 min,"Action & Adventure, Comedies, International Movies","After falling for a guest, an unsuspecting hotel staff becomes embroiled in a hostage scheme and discovers true love in an unlikely place.",4.2,Malay
123,s1927,Movie,American Murder: The Family Next Door,Jenny Popplewell,,United States,2020-09-30,2020,TV-MA,84 min,Documentaries,"Using raw, firsthand footage, this documentary examines the disappearance of Shanann Watts and her children, and the terrible events that followed.",7.2,English
124,s1932,Movie,The Boys in the Band,Joe Mantello,"Jim Parsons, Zachary Quinto, Matt Bomer, Andrew Rannells, Charlie Carver, Robin de Jesús, Brian Hutchison, Michael Benjamin Washington, Tuc Watkins",United States,2020-09-30,2020,R,122 min,"Dramas, LGBTQ Movies","At a birthday party in 1968 New York, a surprise guest and a drunken game leave seven gay friends reckoning with unspoken feelings and buried truths.",6.8,English
125,s1933,Movie,The Boys in the Band: Something Personal,,"Jim Parsons, Zachary Quinto, Matt Bomer, Andrew Rannells, Charlie Carver, Robin de Jesús, Brian Hutchison, Michael Benjamin Washington, Tuc Watkins, Joe Mantello, Ned Martel, Mart Crowley",United States,2020-09-30,2020,TV-MA,28 min,"Documentaries, LGBTQ Movies","Decades after his play first put gay life center stage, Mart Crowley joins the cast and crew of the 2020 film to reflect on the story's enduring legacy.",6.8,English
126,s1963,Movie,A Love Song for Latasha,Sophia Nahli Allison,,United States,2020-09-21,2020,TV-PG,20 min,Documentaries,The killing of Latasha Harlins became a flashpoint for the 1992 LA uprising. This documentary evocatively explores the 15-year-old's life and dreams.,6.8,English
127,s1982,Movie,Whipped,Chandra Liow,"Andovi da Lopez, Jovial da Lopez, Chandra Liow, Tommy Limmm, Susan Sameh, Widika Sidmore, Kezia Aletheia, Karina Salim",Indonesia,2020-09-18,2020,TV-14,98 min,"Comedies, International Movies, Romantic Movies",Four buddies attend a class taught by a love guru who leads them to question their romantic attachments — until her hidden agenda comes to light.,4.1,Indonesian
128,s1985,Movie,GIMS: On the Record,Florent Bodin,Maître Gims,France,2020-09-17,2020,TV-MA,96 min,"Documentaries, International Movies, Music & Musicals",Go backstage with beloved rap superstar Gims in the year leading up to his major 2019 Stade de France performance in this up-close documentary.,6.8,French
129,s1997,Movie,The Paramedic,Carles Torras,"Mario Casas, Déborah François, Guillermo Pfening, María Rodríguez Soto, Celso Bugallo, Raúl Jiménez, Pol Monen, Alice Bocchi, Martín Bacigalupo",Spain,2020-09-16,2020,TV-MA,94 min,"Dramas, International Movies, Thrillers","Unable to face his new reality in a wheelchair, Ángel develops a deadly obsession with the woman who left him and unleashes a sinister revenge plot.",5.6,Spanish
130,s2000,Movie,Hope Frozen: A Quest to Live Twice,Pailin Wedel,,"Thailand, United States",2020-09-15,2020,TV-PG,80 min,"Documentaries, International Movies","A Thai scientist and his family decide to cryonically freeze their cherished, dying toddler. This heartfelt documentary follows their journey.",6.7,Thia/English
131,s2008,Movie,Dad Wanted,Javier Colinas,"Natalia Coronado, Juan Pablo Medina, Silvia Navarro, Roberto Quijano, Victoria Viera, Arantxa Servín, Aleyda Gallardo, Joaquín Emanuel, Abril Michel, Omar Fierro, Luis Ernesto Franco, Patricia Reyes Spíndola, Rodrigo Murray, Luis Arrieta, Alberto Guerra, Moisés Arizmendi, David Fridman, Martha Claudia Moreno, Ela Velden, Gonzalo García Vivanco, Mauricio Argüelles, César Rodríguez",Mexico,2020-09-11,2020,TV-14,103 min,"Children & Family Movies, Comedies, Dramas",What does a thrill-seeker tween girl do when her mom forbids her to enter a BMX race? Cast an actor with nothing to lose to play her approving dad.,5.7,Spanish
132,s2030,Movie,The Babysitter: Killer Queen,McG,"Judah Lewis, Jenna Ortega, Emily Alyn Lind, Andrew Bachelor, Robbie Amell, Bella Thorne, Hana Mae Lee, Ken Marino, Leslie Bibb, Chris Wylde, Carl McDowell",United States,2020-09-10,2020,TV-MA,102 min,"Comedies, Horror Movies","Two years after Cole survived a satanic blood cult, he's living another nightmare: high school. And the demons from his past? Still making his life hell.",5.8,English
133,s2031,Movie,Cargo,Arati Kadav,"Vikrant Massey, Shweta Tripathi, Nandu Madhav, Konkona Sen Sharma, Biswapati Sarkar, Ritwik Bhaumik, Prabal Panjabi, Hansal Mehta",India,2020-09-09,2020,TV-14,113 min,"Comedies, Dramas, Independent Movies","Aboard a spaceship where souls of the deceased are readied for reincarnation, a lone crew member’s rigid existence is disrupted by a spry new assistant.",6.3,English
134,s2036,Movie,The Social Dilemma,Jeff Orlowski,"Skyler Gisondo, Kara Hayward, Vincent Kartheiser",United States,2020-09-09,2020,PG-13,94 min,Documentaries,"This documentary-drama hybrid explores the dangerous human impact of social networking, with tech experts sounding the alarm on their own creations.",7.6,English
135,s2039,Movie,My Octopus Teacher,"Pippa Ehrlich, James Reed",,South Africa,2020-09-07,2020,TV-G,86 min,"Children & Family Movies, Documentaries, International Movies","A filmmaker forges an unusual friendship with an octopus living in a South African kelp forest, learning as the animal shares the mysteries of her world.",8.1,English
136,s2046,Movie,I'm Thinking of Ending Things,Charlie Kaufman,"Jessie Buckley, Jesse Plemons, Toni Collette, David Thewlis, Guy Boyd",United States,2020-09-04,2020,R,135 min,"Dramas, Independent Movies",Nothing is as it seems when a woman experiencing misgivings about her new boyfriend joins him on a road trip to meet his parents at their remote farm.,6.6,English
137,s2053,Movie,"Love, Guaranteed",Mark Steven Johnson,"Rachael Leigh Cook, Damon Wayans Jr., Heather Graham, Caitlin Howden, Brendan Taylor, Sebastian Billingsley-Rodriguez, Sean Amsing, Lisa Durupt, Alvin Sanders, Jed Rees, Kandyse McClure",United States,2020-09-03,2020,TV-PG,91 min,"Comedies, Independent Movies, Romantic Movies",Sparks fly when a crusading but cash-strapped attorney takes on a charming client looking to sue a dating site that guarantees its users will find love.,5.6,English
138,s2061,Movie,Always Be My Maybe,Dan Villegas,"Gerald Anderson, Arci Muñoz, Cacai Bautista, Ricci Chan, Tirso Cruz III, Carlo Aquino, Matt Evans, Ahron Villena, Victor Silayan, TJ Trinidad",Philippines,2020-09-01,2016,TV-14,112 min,"International Movies, Romantic Movies","After being unexpectedly dumped by their respective lovers, a man and a woman have a chance meeting at a resort and embark on a unique relationship.",6.8,English
139,s2085,Movie,All Together Now,Brett Haley,"Auli'i Cravalho, Justina Machado, Rhenzy Feliz, Fred Armisen, Carol Burnett, Judy Reyes, Taylor Richardson, C.S. Lee, Anthony Jacques",United States,2020-08-29,2020,PG,94 min,Dramas,"An optimistic, talented teen clings to a huge secret: She's homeless and living on a bus. When tragedy strikes, can she learn to accept a helping hand?",6.5,English
140,s2089,Movie,Unknown Origins,David Galán Galindo,"Javier Rey, Verónica Echegui, Brays Efe, Antonio Resines, Álex García, Carlos Areces, Ernesto Alterio, Leonardo Sbaraglia",Spain,2020-08-28,2020,TV-MA,97 min,"International Movies, Thrillers",A very chiseled but somber detective must find a serial killer who leaves clues that only his mentor's nerdy comics-loving son can decipher.,6.1,Spanish
141,s2098,Movie,Rising Phoenix,,,United Kingdom,2020-08-26,2020,PG-13,107 min,"Documentaries, International Movies, Sports Movies","Elite athletes and insiders reflect on the Paralympic Games and examine how they impact a global understanding of disability, diversity and excellence.",8.1,English
142,s2104,Movie,Class of '83,Atul Sabharwal,"Bobby Deol, Bhupendra Jadawat, Hitesh Bhojraj, Anup Soni, Joy Sengupta, Sameer Paranjape, Ninad Mahajani, Prithvik Pratap",India,2020-08-21,2020,TV-14,98 min,"Dramas, International Movies, Thrillers","Demoted to an academy job, a cop trains five foolhardy students as assassins in his risky revenge plot against police corruption and the underworld.",5.8,Hindi
143,s2105,Movie,Dark Forces,Bernardo Arellano,"Tenoch Huerta, Eréndira Ibarra, Dale Carley, Ariane Pellicer, Johana Blendl, Dai Liparoti, Mauricio Aspe, Nick Zedd",Mexico,2020-08-21,2020,TV-MA,81 min,"Horror Movies, Independent Movies, International Movies","In search of his sister, a renegade criminal seeks answers at a sordid hotel where he encounters a sinister guest and romances a mysterious waitress.",2.6,Spanish
144,s2108,Movie,The Sleepover,Trish Sie,"Sadie Stanley, Maxwell Simkins, Ken Marino, Malin Akerman, Cree Cicchino, Lucas Jaye, Karla Souza, Enuka Okuma, Erik Griffin, Joe Manganiello",United States,2020-08-21,2020,TV-PG,104 min,"Action & Adventure, Children & Family Movies, Comedies",What do you do if your parents are kidnapped by a crew of international thieves? You begin a wild overnight adventure — complete with spy gear.,5.6,English
145,s2110,Movie,John Was Trying to Contact Aliens,,,United States,2020-08-20,2020,TV-PG,17 min,"Documentaries, LGBTQ Movies","A rural electronics whiz broadcasts radio signals into space and monitors for signs of aliens, but makes a more important connection here on Earth.",6.4,English
146,s2112,Movie,The Crimes That Bind,Sebastián Schindel,"Cecilia Roth, Miguel Ángel Solá, Benjamín Amadeo, Sofía Gala Castiglione, Yanina Ávila, Marcelo Subiotto, Paola Barrientos, Diego Cremonesi, Claudio Martínez Bel",Argentina,2020-08-20,2020,TV-14,100 min,"Dramas, International Movies","When her son is accused of raping and trying to murder his ex-wife, Alicia embarks on a journey that will change her life forever.",6.6,Spanish
147,s2118,Movie,Crazy Awesome Teachers,Sammaria Sari Simanjuntak,"Gading Marten, Dian Sastrowardoyo, Faradina Mufti, Boris Bokir, Kevin Ardilova, Shakira Jasmine, Asri Welas, Arswendi Bening Swara, Kiki Narendra, Ibnu Jamil",Indonesia,2020-08-17,2020,TV-PG,102 min,"Comedies, Dramas, International Movies","When staff salaries get stolen at his school, a reluctant new teacher sets out to recoup the money and soon discovers the joys of teaching.",6.2,Indonesian
148,s2130,Movie,Fearless,Cory Edwards,"Yara Shahidi, Miles Robbins, Miguel J. Pimentel, Gabrielle Union, Jadakiss, Tom Kenny, Angie Martinez, Harland Williams, Fat Joe, Amari McCoy, Dwyane Wade",Canada,2020-08-14,2020,TV-Y7,92 min,"Children & Family Movies, Comedies",A teen gamer is forced to level up to full-time babysitter when his favorite video game drops three superpowered infants from space into his backyard.,4.9,English
149,s2132,Movie,Octonauts & the Caves of Sac Actun,Blair Simmons,"Teresa Gallagher, Simon Greenall, Keith Wickham, Rob Rackstraw, Michael Murphy, Jo Wyatt, Helen Walsh, Andres Williams, Paul Panting",United Kingdom,2020-08-14,2020,TV-Y,72 min,Children & Family Movies,"The Octonauts embark on an underwater adventure, navigating a set of challenging caves to help a small octopus friend return home to the Caribbean Sea.",6.2,English
150,s2133,Movie,Project Power,"Henry Joost, Ariel Schulman","Jamie Foxx, Joseph Gordon-Levitt, Dominique Fishback, Rodrigo Santoro, Courtney B. Vance, Amy Landecker, Machine Gun Kelly, Tait Fletcher, Allen Maldonado, Andrene Ward-Hammond",United States,2020-08-14,2020,R,113 min,Action & Adventure,"An ex-soldier, a teen and a cop collide in New Orleans as they hunt for the source behind a dangerous new pill that grants users temporary superpowers.",6.0,English
151,s2142,Movie,Gunjan Saxena: The Kargil Girl,Sharan Sharma,"Janhvi Kapoor, Pankaj Tripathi, Angad Bedi, Viineet Kumar, Manav Vij, Ayesha Raza Mishra",India,2020-08-12,2020,TV-14,113 min,"Action & Adventure, Dramas, International Movies",Flight Lieutenant Gunjan Saxena makes history in her journey from aspiring aviator to India’s first female combat pilot in the Kargil War.,5.3,Hindi
152,s2160,Movie,Work It,Laura Terruso,"Sabrina Carpenter, Jordan Fisher, Liza Koshy, Keiynan Lonsdale, Michelle Buteau, Drew Ray Tanner",United States,2020-08-07,2020,TV-14,94 min,Comedies,A brilliant but clumsy high school senior vows to get into her late father’s alma mater by transforming herself and a misfit squad into dance champions.,6.1,English
153,s2164,Movie,Anelka: Misunderstood,Franck Nataf,Nicolas Anelka,France,2020-08-05,2020,TV-14,95 min,"Documentaries, International Movies, Sports Movies","Inscrutable, incomparable or both? Famed French footballer Nicolas Anelka’s controversial legacy is explored in this in-depth documentary.",6.4,French
154,s2187,Movie,Raat Akeli Hai,Honey Trehan,"Nawazuddin Siddiqui, Radhika Apte, Khalid Tyabji, Aditya Srivastava, Padmavati Rao, Shivani Raghuvanshi, Nishant Dahiya, Shweta Tripathi, Gyanendra Tripathi, Shreedhar Dubey, Swanand Kirkire, Riya Shukla, Tigmanshu Dhulia, Ila Arun, Natasha Rastogi",India,2020-07-31,2020,TV-MA,150 min,"Dramas, International Movies, Thrillers","When a newly married landlord is murdered, a misfit cop’s investigation is complicated by the victim’s secretive family and his own conflicted heart.",7.3,Hindi
